Input_pH,Input_pe,U_initial,Carbonate,NaCl,Ca,Hfo_s,Hfo_w,Output_pH,Output_pe,U_ads,U_diss,HFO_gL,Ads_%,Kd_L_g,logKd,U_surface_total,Hfo_sOUO2+,(Hfo_sO)2UO2,(Hfo_sO)2UO2CO3-2,Hfo_wOUO2+,(Hfo_wO)2UO2,(Hfo_wO)2UO2CO3-2,UO2+2,UO2OH+,UO2(OH)2,UO2CO3,UO2(CO3)2-2,UO2(CO3)3-4,UO2Cl+,CaUO2(CO3)3-2,Ca2UO2(CO3)3,SI_Na2U2O7,SI_UO2CO3,SI_beta_UO2OH2,Dominant_aq_species,Dominant_surface_species
3.0,17.8,1e-08,2.6826957952797277e-05,0.0630957344480193,0.0,5.623413251903491e-06,0.0002249365300761,3.0,17.601505696397858,2.3330349583709413e-10,9.766696504162778e-09,0.0461119886656086,2.3330349583709413,0.5180357139836103,-0.2856402984568048,2.3330349583709413e-10,1.4673317289868646e-10,8.044046184161465e-11,6.817405985339756e-36,5.112249531127782e-12,1.0176115656652333e-12,2.727260587971577e-38,9.04798904820884e-09,5.077053333588261e-11,6.285574742138282e-15,4.153079822840226e-14,1.0540016010688684e-22,9.57162935069621e-33,6.661335224835218e-10,0.0,0.0,-23.274822121202725,-8.555303331585256,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,2.6826957952797277e-05,0.2511886431509579,0.001,1e-06,4e-05,3.0,17.60288894216032,3.6270099080087427e-11,9.963729900919971e-09,0.0081999999999999,0.3627009908008743,0.4439284142213057,-0.3526870564961724,3.6270099080087427e-11,2.2811552981668855e-11,1.2505587152396739e-11,1.0998399073628334e-36,7.947592685747313e-13,1.5819967744710278e-13,4.3997801939463454e-39,7.909984311817484e-09,4.410306678918782e-11,5.198530320143446e-15,3.610103326999048e-14,9.922620816219284e-23,9.350864895222982e-33,1.992394141438722e-09,6.1889414181993625e-31,1.9386507835021902e-32,-22.31040888043891,-8.597598991172228,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,7.196856730011514e-05,0.0039810717055349,0.001,3.1622776601683795e-05,0.0012649110640673,3.0,17.601073775184222,1.2543011565136894e-09,8.745698850264887e-09,0.2593067681338071,12.543011565136895,0.5530870010555028,-0.2572065484305007,1.2543011565136894e-09,7.888756525240084e-10,4.3246985763772815e-10,9.71934119262231e-35,2.7484715381212305e-11,5.4709309707405515e-12,3.888142916219487e-37,8.650301920121974e-09,4.863565483636366e-11,6.112611158445135e-15,1.0667453318882929e-13,7.085870897795721e-22,1.706373980279267e-31,4.663871456437619e-11,2.690668970533919e-29,2.1232191425363667e-30,-25.59243879606452,-8.151287749395216,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,7.196856730011514e-05,0.0039810717055349,0.01,3.1622776601683795e-05,0.0012649110640673,3.0,17.601107160580305,1.2547094899982618e-09,8.745290516798766e-09,0.2593067681338071,12.547094899982618,0.553292889693331,-0.257044910821077,1.2547094899982618e-09,7.891324725951428e-10,4.3261064171264047e-10,9.762912702097463e-35,2.749366355397601e-11,5.472712136502624e-12,3.905573474980948e-37,8.653118190813454e-09,4.8644009731769155e-11,6.087429552639132e-15,1.0670940391213717e-13,7.147218361663819e-22,1.7283005113938906e-31,4.3407000370540953e-11,2.159569477025782e-28,1.3448162659663495e-28,-25.64876848599713,-8.149345156731703,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,7.196856730011514e-05,0.0630957344480193,0.0,0.001,0.04,3.0,17.601505863328704,8.094551913958028e-09,1.905448086034546e-09,8.2,80.94551913958027,0.5180621212128145,-0.2856181605591302,8.094551913958028e-09,5.090890827373388e-09,2.790995607295308e-09,6.34563151888059e-34,1.7736111389809795e-10,3.5304365391233866e-11,2.5383067578898435e-36,1.7652182914490511e-09,9.905074457748553e-12,1.2262829244030458e-15,2.1736405459393376e-14,1.4798912843496752e-22,3.6053340414959656e-32,1.299593643576394e-10,0.0,0.0,-24.694330425137156,-8.83648588425865,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,0.0005179474679231,0.001,0.001,0.0001778279410038,0.0071131176401556,3.0,17.601053355160232,4.4741431910057345e-09,5.5258568089906385e-09,1.4581891162319167,44.741431910057344,0.5552600142739647,-0.2555036000830384,4.4741431910057345e-09,2.8139343641017922e-09,1.5426576601100339e-09,2.4935842825407747e-33,9.803662539636307e-11,1.9514541397545587e-11,9.974998554371156e-36,5.486916746450358e-09,3.0852667053427664e-11,3.880646742717356e-15,4.870010736023222e-13,2.3250770763364063e-20,4.0270947343270286e-29,7.595867684993326e-12,6.864935781227431e-27,5.86041225471869e-28,-27.169411449335424,-7.492117137508092,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,0.0005179474679231,0.0039810717055349,1e-05,3.1622776601683795e-05,0.0012649110640673,3.0,17.601071730970624,1.2541368957561203e-09,8.745863104243535e-09,0.2593067681338071,12.541368957561204,0.553004183858528,-0.2572715829452145,1.2541368957561203e-09,7.887723412338183e-10,4.3241322427295875e-10,6.990720849347864e-34,2.748111579007953e-11,5.470214459263594e-12,2.796580636368436e-36,8.649169015865191e-09,4.8629742965514754e-11,6.114716557174005e-15,7.676162202807372e-13,3.66623559905194e-20,6.351018286392943e-29,4.72805828498435e-11,1.0502594029086955e-28,8.695540052239432e-32,-25.581385771887547,-7.294402623025725,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,0.0005179474679231,0.2511886431509579,0.0001,3.1622776601683795e-05,0.0012649110640673,3.0,17.602887525139796,1.0320836705074143e-09,8.967916330829853e-09,0.2593067681338071,10.320836705074145,0.4438226954343093,-0.3527904933390976,1.0320836705074143e-09,6.491130712676674e-10,3.558538506449565e-10,6.040056471094336e-34,2.2615126663464708e-11,4.501621931325583e-12,2.4162304181340445e-36,7.11768958981194e-09,3.968579145879256e-11,4.679757798975741e-15,6.27192277558092e-13,3.3256588969649824e-20,6.048490909686596e-29,1.7943923405373987e-09,4.010580226859835e-28,1.2590985194365294e-30,-22.401594211018097,-7.357891626556011,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,0.0037275937203149,0.0158489319246111,1e-05,3.1622776601683795e-05,0.0012649110640673,3.0,17.601171295293323,1.2374435387704271e-09,8.762556467290443e-09,0.2593067681338071,12.374435387704272,0.5446038539346786,-0.2639192896639897,1.2374435387704271e-09,7.782731088709878e-10,4.2665773256523424e-10,4.9760138471229824e-33,2.711529984580621e-11,5.397397488398754e-12,1.9906108268111312e-35,8.534035261840782e-09,4.79604108252796e-11,6.011350597030542e-15,5.449003588289937e-12,1.882601287772551e-18,2.3526661863767424e-26,1.7497537256915818e-10,3.175478585208806e-26,2.1400246095899366e-29,-24.44254535534931,-6.442043607791129,-999.999,UO2+2,Hfo_sOUO2+
3.0,17.8,1e-08,0.0037275937203149,0.2511886431509579,0.0,0.0001778279410038,0.0071131176401556,3.0,17.602899113572228,3.927972278412894e-09,6.072027721593629e-09,1.4581891162319167,39.279722784128936,0.4436299069476646,-0.3529791839283565,3.927972278412894e-09,2.470426502951396e-09,1.354344952316681e-09,1.654242436607367e-32,8.606856666111726e-11,1.713225648369879e-11,6.617354968756317e-35,4.817088070250904e-09,2.6856994582943008e-11,3.1669542100264445e-15,3.0546819469914007e-12,1.165532304037148e-18,1.5254366595073188e-26,1.2145210328327467e-09,0.0,0.0,-22.740720507510684,-6.670345549237837,-999.999,UO2+2,Hfo_sOUO2+
